  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:02 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    6 ?        S      0:00 [kworker/u8:0]
    7 ?        S      0:00 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S<     0:00 [lru-add-drain]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        S<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        S<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        S<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [kdevtmpfs]
   32 ?        S<     0:00 [netns]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        S<     0:00 [writeback]
   36 ?        S      0:00 [kcompactd0]
   37 ?        SN     0:00 [ksmd]
   38 ?        SN     0:00 [khugepaged]
   39 ?        S<     0:00 [crypto]
   40 ?        S<     0:00 [kintegrityd]
   41 ?        S<     0:00 [bioset]
   42 ?        S<     0:00 [kblockd]
   44 ?        S<     0:00 [ata_sff]
   45 ?        S<     0:00 [md]
   46 ?        S<     0:00 [devfreq_wq]
   47 ?        S<     0:00 [watchdogd]
   48 ?        S      0:00 [kworker/u8:1]
   50 ?        S      0:00 [kswapd0]
   51 ?        S<     0:00 [vmstat]
   52 ?        S      0:00 [ecryptfs-kthrea]
   91 ?        S<     0:00 [kthrotld]
   92 ?        S<     0:00 [acpi_thermal_pm]
   93 ?        S<     0:00 [bioset]
   94 ?        S<     0:00 [bioset]
   95 ?        S<     0:00 [bioset]
   96 ?        S<     0:00 [bioset]
   97 ?        S<     0:00 [bioset]
   98 ?        S<     0:00 [bioset]
   99 ?        S<     0:00 [bioset]
  101 ?        S<     0:00 [bioset]
  102 ?        S<     0:00 [bioset]
  103 ?        S<     0:00 [bioset]
  104 ?        S<     0:00 [bioset]
  105 ?        S<     0:00 [bioset]
  106 ?        S<     0:00 [bioset]
  107 ?        S<     0:00 [bioset]
  108 ?        S<     0:00 [bioset]
  109 ?        S<     0:00 [bioset]
  110 ?        S<     0:00 [bioset]
  111 ?        S<     0:00 [bioset]
  112 ?        S<     0:00 [bioset]
  113 ?        S<     0:00 [bioset]
  114 ?        S<     0:00 [bioset]
  115 ?        S<     0:00 [bioset]
  116 ?        S<     0:00 [bioset]
  117 ?        S<     0:00 [bioset]
  123 ?        S<     0:00 [ipv6_addrconf]
  148 ?        S<     0:00 [deferwq]
  149 ?        S<     0:00 [charger_manager]
  169 ?        S      0:00 [kworker/2:1]
  192 ?        S      0:00 [kworker/2:2]
  193 ?        S<     0:00 [kpsmoused]
  194 ?        S      0:00 [scsi_eh_0]
  195 ?        S<     0:00 [scsi_tmf_0]
  196 ?        S      0:00 [scsi_eh_1]
  197 ?        S<     0:00 [scsi_tmf_1]
  199 ?        S      0:00 [irq/16-mmc0]
  203 ?        S<     0:00 [ttm_swap]
  204 ?        S<     0:00 [bioset]
  205 ?        S      0:00 [kworker/u8:4]
  206 ?        S<     0:00 [bioset]
  209 ?        S<     0:00 [kworker/3:1H]
  211 ?        S      0:00 [kworker/0:2]
  271 ?        S<     0:00 [kworker/2:1H]
  286 ?        S      0:00 [jbd2/sda5-8]
  287 ?        S<     0:00 [ext4-rsv-conver]
  319 ?        S      0:00 [kauditd]
  322 ?        Ss     0:00 /lib/systemd/systemd-journald
  334 ?        S      0:00 [kworker/3:2]
  353 ?        Ss     0:01 /lib/systemd/systemd-udevd
  413 ?        S      0:00 [ccp-1-q1]
  414 ?        S      0:00 [ccp-1-q2]
  415 ?        S      0:00 [ccp-1-q3]
  416 ?        S      0:00 [ccp-1-q4]
  422 ?        S<     0:00 [kworker/1:1H]
  437 ?        S<     0:00 [cfg80211]
  515 ?        S<     0:00 [kworker/0:1H]
  634 ?        S<     0:00 [kmemstick]
  635 ?        D      0:00 [rtsx_usb_ms_1]
  637 ?        S<     0:00 [kdmflush]
  643 ?        S<     0:00 [bioset]
  644 ?        S<     0:00 [kcryptd_io]
  645 ?        S<     0:00 [kcryptd]
  646 ?        S      0:00 [dmcrypt_write]
