  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    4 ?        S      0:00 [kworker/0:0]
    5 ?        S<     0:00 [kworker/0:0H]
    6 ?        S      0:00 [kworker/u8:0]
    7 ?        S      0:00 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S<     0:00 [lru-add-drain]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   17 ?        S      0:00 [kworker/1:0]
   18 ?        S<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [kdevtmpfs]
   20 ?        S<     0:00 [netns]
   21 ?        S      0:00 [khungtaskd]
   22 ?        S      0:00 [oom_reaper]
   23 ?        S<     0:00 [writeback]
   24 ?        S      0:00 [kcompactd0]
   25 ?        SN     0:00 [ksmd]
   26 ?        SN     0:00 [khugepaged]
   27 ?        S<     0:00 [crypto]
   28 ?        S<     0:00 [kintegrityd]
   29 ?        S<     0:00 [bioset]
   30 ?        S<     0:00 [kblockd]
   31 ?        S<     0:00 [ata_sff]
   32 ?        S<     0:00 [md]
   33 ?        S<     0:00 [devfreq_wq]
   34 ?        S<     0:00 [watchdogd]
   35 ?        S      0:00 [kworker/u8:1]
   36 ?        S      0:00 [kworker/0:1]
   37 ?        S      0:00 [kswapd0]
   38 ?        S<     0:00 [vmstat]
   39 ?        S      0:00 [ecryptfs-kthrea]
   78 ?        S<     0:00 [kthrotld]
   79 ?        S      0:00 [kworker/1:1]
   80 ?        S<     0:00 [acpi_thermal_pm]
   81 ?        S      0:00 [kworker/u8:2]
   82 ?        S<     0:00 [bioset]
   83 ?        S<     0:00 [bioset]
   84 ?        S<     0:00 [bioset]
   85 ?        S<     0:00 [bioset]
   86 ?        S<     0:00 [bioset]
   87 ?        S<     0:00 [bioset]
   88 ?        S<     0:00 [bioset]
   89 ?        S<     0:00 [bioset]
   90 ?        S<     0:00 [bioset]
   91 ?        S<     0:00 [bioset]
   92 ?        S<     0:00 [bioset]
   93 ?        S<     0:00 [bioset]
   94 ?        S<     0:00 [bioset]
   95 ?        S<     0:00 [bioset]
   96 ?        S<     0:00 [bioset]
   97 ?        S<     0:00 [bioset]
   98 ?        S<     0:00 [bioset]
   99 ?        S<     0:00 [bioset]
  100 ?        S<     0:00 [bioset]
  101 ?        S<     0:00 [bioset]
  102 ?        S<     0:00 [bioset]
  103 ?        S<     0:00 [bioset]
  104 ?        S<     0:00 [bioset]
  105 ?        S<     0:00 [bioset]
  106 ?        S      0:00 [kworker/1:2]
  107 ?        S      0:00 [kworker/0:2]
  108 ?        S      0:00 [kworker/1:3]
  112 ?        S<     0:00 [ipv6_addrconf]
  133 ?        S<     0:00 [deferwq]
  134 ?        S<     0:00 [charger_manager]
  157 ?        S      0:00 [kworker/0:3]
  180 ?        S      0:00 [irq/17-mmc0]
  181 ?        S      0:00 [scsi_eh_0]
  182 ?        S<     0:00 [scsi_tmf_0]
  183 ?        S<     0:00 [firewire]
  184 ?        S      0:00 [scsi_eh_1]
  185 ?        S<     0:00 [firewire_ohci]
  186 ?        S<     0:00 [scsi_tmf_1]
  187 ?        S      0:00 [scsi_eh_2]
  188 ?        S<     0:00 [kpsmoused]
  189 ?        S<     0:00 [scsi_tmf_2]
  190 ?        S      0:00 [scsi_eh_3]
  191 ?        S<     0:00 [scsi_tmf_3]
  192 ?        S      0:00 [scsi_eh_4]
  194 ?        S<     0:00 [scsi_tmf_4]
  195 ?        S      0:00 [scsi_eh_5]
  196 ?        S<     0:00 [scsi_tmf_5]
  197 ?        S<     0:00 [ttm_swap]
  198 ?        S      0:00 [kworker/u8:3]
  199 ?        S      0:00 [kworker/u8:4]
  200 ?        S      0:00 [kworker/u8:5]
  201 ?        S      0:00 [kworker/u8:6]
  202 ?        S      0:00 [kworker/u8:7]
